po_number,product_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,unit_cost,total_cost,order_status,delay_days,rush_order,receiving_warehouse
PO-2026-00034,PROD-1190,SUP-15,2025-03-17,2025-04-23,2025-04-22,91,91,489.49,44543.590000000004,Received,-1,1,WH02
PO-2024-00035,PROD-1210,SUP-18,2025-05-23,2025-06-21,2025-06-21,97,97,277.28,26896.159999999996,Received,0,1,WH01
PO-2026-00036,PROD-1174,SUP-14,2025-03-12,2025-03-21,2025-03-21,52,52,243.84,12679.68,Received,0,0,WH02
PO-2025-00037,PROD-1211,SUP-01,2025-11-16,2025-11-24,2025-11-29,79,79,287.0,22673.0,Received,5,0,WH04
PO-2025-00038,PROD-1216,SUP-14,2025-07-11,2025-08-03,2025-08-01,198,198,135.7,26868.6,Received,-2,1,WH03
PO-2025-00039,PROD-1113,SUP-02,2024-08-07,2024-08-30,2024-09-06,155,155,173.85,26946.75,Received,7,0,WH04
PO-2024-00040,PROD-1196,SUP-13,2025-01-14,2025-02-16,2025-02-20,103,103,335.12,34517.36,Received,4,1,WH04
PO-2024-00041,PROD-1062,SUP-08,2024-03-27,2024-05-06,2024-05-14,118,118,220.79,26053.219999999998,Received,8,0,WH02
PO-2026-00042,PROD-1150,SUP-10,2025-05-22,2025-06-19,2025-06-25,155,155,491.12,76123.6,Received,6,1,WH03
PO-2024-00043,PROD-1103,SUP-03,2025-05-05,2025-05-26,2025-05-26,255,255,128.45,32754.749999999996,Received,0,1,WH01
PO-2026-00044,PROD-1045,SUP-02,2024-09-15,2024-10-02,2024-10-05,92,92,225.83,20776.36,Received,3,0,WH02
PO-2025-00045,PROD-1048,SUP-13,2024-01-10,2024-02-01,2024-01-30,78,78,335.08,26136.239999999998,Received,-2,1,WH03
PO-2024-00046,PROD-1031,SUP-03,2024-11-07,2024-11-30,2024-12-01,173,173,84.3,14583.9,Received,1,1,WH02
PO-2024-00047,PROD-1216,SUP-14,2024-09-03,2024-09-13,2024-09-23,56,56,135.7,7599.199999999999,Received,10,0,WH02
PO-2024-00048,PROD-1039,SUP-14,2024-01-21,2024-01-30,2024-02-01,97,97,395.51,38364.47,Received,2,1,WH03
PO-2026-00049,PROD-1096,SUP-15,2025-12-08,2026-01-09,2026-01-18,271,271,136.17,36902.07,Received,9,1,WH03
PO-2024-00050,PROD-1179,SUP-20,2025-12-31,2026-02-09,2026-02-16,68,68,247.96,16861.28,Received,7,0,WH03
PO-2025-00051,PROD-1045,SUP-02,2024-02-01,2024-03-07,2024-03-15,199,199,225.83,44940.170000000006,Received,8,1,WH03
PO-2024-00052,PROD-1123,SUP-22,2025-07-21,2025-08-04,2025-08-11,235,235,401.96,94460.59999999999,Received,7,1,WH02
PO-2026-00053,PROD-1141,SUP-22,2025-11-20,2025-12-13,2025-12-10,100,100,259.84,25983.999999999996,Received,-3,1,WH01
PO-2024-00054,PROD-1129,SUP-12,2024-08-08,2024-08-31,2024-09-09,94,94,77.06,7243.64,Received,9,0,WH01
PO-2026-00055,PROD-1099,SUP-13,2025-07-24,2025-08-13,2025-08-23,165,165,110.94,18305.1,Received,10,0,WH03
PO-2025-00056,PROD-1136,SUP-04,2025-07-17,2025-08-20,2025-08-23,106,106,405.13,42943.78,Received,3,1,WH02
PO-2026-00057,PROD-1024,SUP-03,2025-01-28,2025-03-02,2025-03-08,82,82,374.17,30681.940000000002,Received,6,1,WH02
PO-2025-00058,PROD-1202,SUP-16,2025-12-14,2025-12-22,2025-12-30,159,159,23.71,3769.8900000000003,Received,8,1,WH01
PO-2024-00059,PROD-1090,SUP-06,2025-04-10,2025-04-21,2025-04-18,209,209,177.58,37114.22,Received,-3,1,WH04
PO-2025-00060,PROD-1072,SUP-22,2024-12-23,2025-01-04,2025-01-13,178,178,471.54,83934.12000000001,Received,9,1,WH02
PO-2025-00061,PROD-1172,SUP-15,2024-07-11,2024-08-12,2024-08-22,229,229,143.39,32836.31,Received,10,0,WH04
PO-2026-00062,PROD-1083,SUP-22,2025-11-24,2025-12-27,2026-01-05,127,127,163.52,20767.04,Received,9,1,WH02
PO-2024-00063,PROD-1032,SUP-05,2025-12-11,2026-01-07,2026-01-06,50,50,9.79,489.49999999999994,Received,-1,1,WH04
PO-2025-00064,PROD-1151,SUP-22,2025-03-20,2025-04-20,2025-04-29,275,275,259.28,71301.99999999999,Received,9,0,WH03
PO-2024-00065,PROD-1087,SUP-14,2025-01-23,2025-02-17,2025-02-25,204,204,137.52,28054.08,Received,8,0,WH01
PO-2026-00066,PROD-1105,SUP-01,2024-08-29,2024-09-19,2024-09-17,279,279,348.76,97304.04,Received,-2,1,WH01
PO-2026-00067,PROD-1121,SUP-05,2024-01-15,2024-02-02,2024-02-08,255,255,186.09,47452.950000000004,Received,6,0,WH04
PO-2026-00068,PROD-1158,SUP-14,2025-04-21,2025-05-20,2025-05-22,286,286,140.88,40291.68,Received,2,1,WH01
PO-2024-00069,PROD-1154,SUP-19,2024-08-15,2024-08-20,2024-08-19,195,195,482.78,94142.09999999999,Received,-1,0,WH02
PO-2026-00070,PROD-1155,SUP-02,2025-10-09,2025-11-09,2025-11-12,135,135,280.03,37804.049999999996,Received,3,0,WH01
PO-2026-00071,PROD-1018,SUP-17,2024-09-22,2024-10-31,2024-11-07,216,216,364.18,78662.88,Received,7,1,WH03
PO-2026-00072,PROD-1162,SUP-17,2025-01-28,2025-02-20,2025-03-01,221,221,203.45,44962.45,Received,9,0,WH04
PO-2025-00073,PROD-1212,SUP-17,2025-08-28,2025-09-27,2025-10-01,286,286,490.21,140200.06,Received,4,0,WH01
PO-2025-00074,PROD-1178,SUP-09,2025-10-06,2025-10-13,2025-10-16,85,85,11.0,935.0,Received,3,0,WH03
PO-2025-00075,PROD-1175,SUP-06,2025-11-07,2025-11-30,2025-11-27,77,77,225.32,17349.64,Received,-3,1,WH01
PO-2026-00076,PROD-1006,SUP-20,2025-11-16,2025-11-25,2025-11-29,217,217,88.34,19169.780000000002,Received,4,1,WH03
PO-2024-00077,PROD-1056,SUP-10,2024-12-07,2025-01-08,2025-01-12,201,201,361.42,72645.42,Received,4,1,WH02
PO-2024-00078,PROD-1044,SUP-14,2026-01-28,2026-03-01,2026-03-08,84,83,425.32,35726.88,Received,7,0,WH01
PO-2026-00079,PROD-1013,SUP-15,2025-03-13,2025-04-18,2025-04-17,300,300,17.59,5277.0,Received,-1,1,WH02
PO-2024-00080,PROD-1174,SUP-14,2024-01-09,2024-02-01,2024-02-08,242,242,243.84,59009.28,Received,7,1,WH03
PO-2024-00081,PROD-1210,SUP-18,2024-12-02,2024-12-10,2024-12-14,183,183,277.28,50742.24,Received,4,0,WH01
PO-2025-00082,PROD-1153,SUP-04,2024-11-21,2024-12-13,2024-12-21,259,259,498.13,129015.67,Received,8,1,WH04
PO-2024-00083,PROD-1099,SUP-13,2025-01-17,2025-02-09,2025-02-14,96,96,110.94,10650.24,Received,5,0,WH03
PO-2026-00084,PROD-1197,SUP-11,2024-10-11,2024-11-05,2024-11-14,230,230,432.36,99442.8,Received,9,1,WH02
PO-2024-00085,PROD-1177,SUP-21,2025-08-18,2025-08-29,2025-08-28,265,265,89.61,23746.65,Received,-1,1,WH01
PO-2026-00086,PROD-1067,SUP-16,2024-11-26,2024-12-16,2024-12-17,137,137,348.37,47726.69,Received,1,0,WH01
PO-2024-00087,PROD-1188,SUP-03,2025-09-22,2025-10-25,2025-10-27,72,69,126.73,9124.56,Received,2,0,WH04
PO-2026-00088,PROD-1036,SUP-05,2025-09-15,2025-09-25,2025-09-28,139,139,9.01,1252.3899999999999,Received,3,0,WH01
PO-2024-00089,PROD-1169,SUP-14,2024-05-27,2024-06-22,2024-06-30,151,151,187.4,28297.4,Received,8,1,WH04
PO-2025-00090,PROD-1113,SUP-02,2024-01-28,2024-02-09,2024-02-18,120,120,173.85,20862.0,Received,9,0,WH01
PO-2024-00091,PROD-1041,SUP-11,2024-02-23,2024-04-01,2024-03-30,75,75,463.3,34747.5,Received,-2,1,WH01
PO-2024-00092,PROD-1040,SUP-14,2025-04-17,2025-05-17,2025-05-15,259,259,303.77,78676.43,Received,-2,1,WH01
PO-2024-00093,PROD-1169,SUP-14,2024-08-22,2024-08-30,2024-09-03,101,101,187.4,18927.4,Received,4,1,WH04
PO-2024-00094,PROD-1122,SUP-16,2024-06-23,2024-06-28,2024-07-02,175,175,122.6,21455.0,Received,4,0,WH03
PO-2026-00095,PROD-1190,SUP-15,2024-06-18,2024-07-07,2024-07-12,223,223,489.49,109156.27,Received,5,0,WH02
PO-2025-00096,PROD-1044,SUP-14,2024-12-23,2025-02-01,2025-02-09,63,63,425.32,26795.16,Received,8,0,WH02
PO-2024-00097,PROD-1052,SUP-13,2025-12-03,2025-12-23,2025-12-28,116,116,281.5,32654.0,Received,5,0,WH03
PO-2024-00098,PROD-1150,SUP-10,2024-10-22,2024-11-05,2024-11-09,224,224,491.12,110010.88,Received,4,1,WH02
PO-2024-00099,PROD-1017,SUP-09,2024-04-12,2024-04-29,2024-05-04,82,82,463.48,38005.36,Received,5,0,WH01
PO-2025-00100,PROD-1025,SUP-10,2025-04-20,2025-05-28,2025-06-04,231,231,270.77,62547.869999999995,Received,7,0,WH04
PO-2026-00101,PROD-1097,SUP-11,2025-04-18,2025-05-14,2025-05-12,139,139,123.57,17176.23,Received,-2,1,WH02
PO-2024-00102,PROD-1083,SUP-22,2024-06-08,2024-06-26,2024-06-24,299,299,163.52,48892.48,Received,-2,1,WH03
PO-2026-00103,PROD-1175,SUP-06,2025-11-30,2025-12-05,2025-12-04,275,275,225.32,61963.0,Received,-1,0,WH03
PO-2024-00104,PROD-1175,SUP-06,2024-01-20,2024-02-04,2024-02-07,193,193,225.32,43486.76,Received,3,0,WH03
PO-2025-00105,PROD-1061,SUP-20,2025-06-01,2025-06-23,2025-06-27,102,83,57.22,5836.44,Received,4,0,WH02
PO-2025-00106,PROD-1200,SUP-11,2024-04-01,2024-05-02,2024-05-04,237,237,286.86,67985.82,Received,2,0,WH01
PO-2025-00107,PROD-1194,SUP-20,2025-07-06,2025-07-16,2025-07-21,237,237,176.34,41792.58,Received,5,0,WH01
PO-2025-00108,PROD-1015,SUP-08,2025-10-10,2025-10-18,2025-10-22,51,51,225.98,11524.98,Received,4,1,WH03
PO-2025-00109,PROD-1005,SUP-15,2025-11-10,2025-12-03,2025-12-11,95,95,416.93,39608.35,Received,8,1,WH03
PO-2024-00110,PROD-1018,SUP-17,2024-05-18,2024-05-25,2024-06-01,262,262,364.18,95415.16,Received,7,1,WH02
PO-2025-00111,PROD-1040,SUP-14,2024-11-14,2024-11-29,2024-12-01,223,223,303.77,67740.70999999999,Received,2,0,WH01
PO-2026-00112,PROD-1205,SUP-09,2026-01-01,2026-02-10,2026-02-09,79,79,141.22,11156.38,Received,-1,0,WH04
PO-2026-00113,PROD-1052,SUP-13,2024-11-18,2024-11-24,2024-11-28,79,79,281.5,22238.5,Received,4,1,WH02
PO-2024-00114,PROD-1058,SUP-14,2025-08-15,2025-08-23,2025-08-31,243,179,129.52,31473.360000000004,Received,8,0,WH02
PO-2026-00115,PROD-1038,SUP-03,2024-02-23,2024-04-01,2024-03-31,266,266,356.25,94762.5,Received,-1,1,WH02
PO-2024-00116,PROD-1133,SUP-04,2025-05-28,2025-06-07,2025-06-17,260,260,164.33,42725.8,Received,10,0,WH02
PO-2025-00117,PROD-1106,SUP-18,2025-05-14,2025-06-04,2025-06-11,128,101,356.71,45658.88,Received,7,0,WH04
PO-2025-00118,PROD-1154,SUP-19,2025-07-03,2025-07-23,2025-07-22,133,133,482.78,64209.74,Received,-1,1,WH02
PO-2025-00119,PROD-1117,SUP-01,2025-04-02,2025-04-16,2025-04-20,140,140,225.0,31500.0,Received,4,0,WH03
PO-2025-00120,PROD-1160,SUP-12,2024-07-15,2024-08-17,2024-08-19,163,163,423.64,69053.31999999999,Received,2,1,WH02
PO-2025-00121,PROD-1091,SUP-02,2024-12-07,2025-01-10,2025-01-10,181,181,153.78,27834.18,Received,0,0,WH03
PO-2025-00122,PROD-1079,SUP-01,2025-03-03,2025-04-08,2025-04-13,185,185,229.35,42429.75,Received,5,0,WH02
PO-2026-00123,PROD-1036,SUP-05,2025-05-18,2025-06-05,2025-06-12,59,59,9.01,531.59,Received,7,1,WH03
PO-2024-00124,PROD-1170,SUP-12,2025-03-31,2025-04-27,2025-05-05,235,235,470.19,110494.65,Received,8,0,WH01
PO-2026-00125,PROD-1210,SUP-18,2026-01-03,2026-01-27,2026-02-01,266,266,277.28,73756.48,Received,5,1,WH03
PO-2026-00126,PROD-1138,SUP-01,2025-07-29,2025-09-02,2025-09-02,169,169,49.9,8433.1,Received,0,0,WH02
PO-2025-00127,PROD-1077,SUP-20,2024-06-27,2024-07-18,2024-07-15,221,221,149.23,32979.829999999994,Received,-3,1,WH03
PO-2024-00128,PROD-1030,SUP-18,2025-02-17,2025-03-09,2025-03-13,279,279,149.54,41721.659999999996,Received,4,0,WH01
PO-2025-00129,PROD-1201,SUP-06,2024-07-28,2024-08-30,2024-09-07,62,62,384.74,23853.88,Received,8,0,WH04
PO-2026-00130,PROD-1187,SUP-08,2024-04-29,2024-05-22,2024-05-21,150,150,318.89,47833.5,Received,-1,0,WH01
PO-2026-00131,PROD-1084,SUP-01,2025-01-09,2025-02-15,2025-02-18,92,92,62.8,5777.599999999999,Received,3,1,WH02
PO-2026-00132,PROD-1021,SUP-08,2025-02-23,2025-03-03,2025-03-09,184,184,261.38,48093.92,Received,6,1,WH02
PO-2026-00133,PROD-1103,SUP-03,2024-10-06,2024-11-08,2024-11-08,63,39,128.45,8092.349999999999,Received,0,1,WH03
PO-2025-00134,PROD-1172,SUP-15,2026-01-05,2026-01-17,2026-01-18,298,298,143.39,42730.219999999994,Received,1,1,WH02
PO-2025-00135,PROD-1074,SUP-06,2024-10-18,2024-11-10,2024-11-16,298,298,348.0,103704.0,Received,6,1,WH01
PO-2024-00136,PROD-1216,SUP-14,2025-08-17,2025-09-15,2025-09-24,203,203,135.7,27547.1,Received,9,0,WH01
PO-2024-00137,PROD-1178,SUP-09,2024-03-04,2024-03-11,2024-03-15,265,265,11.0,2915.0,Received,4,0,WH03
PO-2025-00138,PROD-1095,SUP-07,2026-01-14,2026-02-19,2026-02-28,65,65,346.83,22543.95,Received,9,0,WH01
PO-2024-00139,PROD-1010,SUP-15,2025-04-02,2025-05-10,2025-05-07,66,66,213.73,14106.179999999998,Received,-3,0,WH03
PO-2025-00140,PROD-1134,SUP-06,2025-05-28,2025-06-29,2025-07-03,68,68,111.68,7594.240000000001,Received,4,0,WH02
PO-2024-00141,PROD-1184,SUP-19,2024-06-21,2024-07-09,2024-07-17,245,245,155.41,38075.45,Received,8,1,WH01
PO-2025-00142,PROD-1001,SUP-17,2024-07-31,2024-09-08,2024-09-14,135,135,116.99,15793.65,Received,6,1,WH04
PO-2026-00143,PROD-1020,SUP-21,2024-07-05,2024-08-14,2024-08-11,174,174,286.08,49777.92,Received,-3,0,WH04
PO-2026-00144,PROD-1117,SUP-01,2024-01-12,2024-02-04,2024-02-06,102,102,225.0,22950.0,Received,2,0,WH02
PO-2025-00145,PROD-1126,SUP-07,2024-04-16,2024-04-30,2024-05-08,284,284,200.61,56973.240000000005,Received,8,0,WH02
PO-2026-00146,PROD-1042,SUP-18,2025-05-14,2025-05-19,2025-05-29,166,166,326.24,54155.840000000004,Received,10,0,WH02
PO-2024-00147,PROD-1150,SUP-10,2024-06-08,2024-07-06,2024-07-03,122,122,491.12,59916.64,Received,-3,1,WH02
PO-2024-00148,PROD-1146,SUP-19,2024-05-17,2024-06-14,2024-06-16,245,245,271.64,66551.8,Received,2,0,WH01
PO-2025-00149,PROD-1052,SUP-13,2025-10-18,2025-11-20,2025-11-18,274,274,281.5,77131.0,Received,-2,1,WH02
PO-2024-00150,PROD-1196,SUP-13,2024-02-25,2024-03-16,2024-03-15,235,235,335.12,78753.2,Received,-1,1,WH01
PO-2024-00151,PROD-1114,SUP-01,2024-01-19,2024-02-03,2024-02-06,100,100,317.91,31791.000000000004,Received,3,0,WH01
PO-2026-00152,PROD-1040,SUP-14,2025-01-19,2025-02-05,2025-02-11,256,256,303.77,77765.12,Received,6,1,WH04
PO-2025-00153,PROD-1000,SUP-22,2024-04-23,2024-05-12,2024-05-20,93,93,9.95,925.3499999999999,Received,8,0,WH03
PO-2024-00154,PROD-1019,SUP-16,2025-05-01,2025-06-10,2025-06-13,268,268,164.62,44118.16,Received,3,1,WH01
PO-2025-00155,PROD-1205,SUP-09,2024-03-19,2024-03-31,2024-04-03,141,141,141.22,19912.02,Received,3,0,WH01
PO-2026-00156,PROD-1142,SUP-13,2025-06-03,2025-07-05,2025-07-10,81,81,419.18,33953.58,Received,5,1,WH01
PO-2026-00157,PROD-1174,SUP-14,2025-01-10,2025-01-15,2025-01-13,122,122,243.84,29748.48,Received,-2,0,WH04
PO-2024-00158,PROD-1073,SUP-13,2025-11-16,2025-12-19,2025-12-25,187,187,300.24,56144.880000000005,Received,6,1,WH02
PO-2026-00159,PROD-1180,SUP-18,2024-03-30,2024-05-06,2024-05-11,230,230,91.05,20941.5,Received,5,0,WH02
PO-2024-00160,PROD-1168,SUP-04,2024-10-09,2024-11-05,2024-11-14,104,104,291.18,30282.72,Received,9,1,WH02
PO-2024-00161,PROD-1013,SUP-15,2025-02-03,2025-03-10,2025-03-14,154,154,17.59,2708.86,Received,4,0,WH03
PO-2025-00162,PROD-1077,SUP-20,2024-07-18,2024-08-02,2024-08-10,116,116,149.23,17310.68,Received,8,0,WH04
PO-2026-00163,PROD-1191,SUP-08,2025-01-10,2025-02-15,2025-02-20,283,283,244.4,69165.2,Received,5,1,WH04
PO-2025-00164,PROD-1190,SUP-15,2025-10-03,2025-10-24,2025-11-02,244,244,489.49,119435.56,Received,9,0,WH02
PO-2025-00165,PROD-1073,SUP-13,2024-11-04,2024-12-07,2024-12-12,196,196,300.24,58847.04,Received,5,1,WH03
PO-2025-00166,PROD-1096,SUP-15,2024-02-06,2024-02-12,2024-02-12,102,102,136.17,13889.339999999998,Received,0,1,WH02
PO-2024-00167,PROD-1170,SUP-12,2026-01-28,2026-03-08,2026-03-10,170,138,470.19,79932.3,Received,2,0,WH01
PO-2024-00168,PROD-1077,SUP-20,2025-09-16,2025-09-29,2025-10-07,104,104,149.23,15519.919999999998,Received,8,0,WH03
PO-2026-00169,PROD-1007,SUP-17,2024-07-06,2024-07-18,2024-07-21,287,287,196.75,56467.25,Received,3,0,WH04
PO-2026-00170,PROD-1219,SUP-08,2024-05-01,2024-05-21,2024-05-23,296,296,198.56,58773.76,Received,2,1,WH02
PO-2025-00171,PROD-1032,SUP-05,2024-02-20,2024-03-15,2024-03-16,175,175,9.79,1713.2499999999998,Received,1,1,WH02
PO-2024-00172,PROD-1159,SUP-22,2025-05-29,2025-07-01,2025-07-11,205,205,350.78,71909.9,Received,10,1,WH04
PO-2025-00173,PROD-1073,SUP-13,2025-06-03,2025-07-12,2025-07-22,84,84,300.24,25220.16,Received,10,0,WH02
PO-2024-00174,PROD-1144,SUP-07,2024-03-19,2024-04-02,2024-03-31,206,146,368.14,75836.84,Received,-2,0,WH01
PO-2026-00175,PROD-1049,SUP-19,2025-01-17,2025-01-26,2025-01-23,89,60,333.63,29693.07,Received,-3,1,WH02
PO-2025-00176,PROD-1109,SUP-08,2024-09-06,2024-09-30,2024-09-29,171,171,134.86,23061.06,Received,-1,1,WH02
PO-2025-00177,PROD-1158,SUP-14,2025-11-23,2025-12-01,2025-12-03,132,132,140.88,18596.16,Received,2,0,WH04
PO-2024-00178,PROD-1001,SUP-17,2025-10-18,2025-11-02,2025-11-10,224,224,116.99,26205.76,Received,8,1,WH01
PO-2025-00179,PROD-1122,SUP-16,2025-08-09,2025-08-21,2025-08-23,244,244,122.6,29914.399999999998,Received,2,1,WH03
PO-2024-00180,PROD-1089,SUP-15,2024-11-24,2024-12-18,2024-12-19,223,223,2.26,503.97999999999996,Received,1,1,WH03
PO-2026-00181,PROD-1208,SUP-20,2024-12-27,2025-01-29,2025-01-30,225,225,476.63,107241.75,Received,1,0,WH02
PO-2026-00182,PROD-1210,SUP-18,2025-10-25,2025-11-11,2025-11-21,295,295,277.28,81797.59999999999,Received,10,0,WH01
PO-2024-00183,PROD-1214,SUP-03,2025-09-21,2025-10-20,2025-10-24,267,267,154.24,41182.08,Received,4,1,WH03
PO-2026-00184,PROD-1126,SUP-07,2025-10-19,2025-11-15,2025-11-25,80,80,200.61,16048.800000000001,Received,10,0,WH03
PO-2026-00185,PROD-1134,SUP-06,2024-05-18,2024-06-05,2024-06-05,105,105,111.68,11726.400000000001,Received,0,1,WH01
PO-2024-00186,PROD-1014,SUP-09,2024-03-12,2024-04-02,2024-04-12,169,169,421.46,71226.73999999999,Received,10,1,WH02
PO-2026-00187,PROD-1132,SUP-20,2024-06-17,2024-06-25,2024-06-24,73,73,429.46,31350.579999999998,Received,-1,0,WH03
PO-2025-00188,PROD-1057,SUP-13,2025-06-13,2025-06-25,2025-07-01,189,189,119.52,22589.28,Received,6,0,WH01
PO-2026-00189,PROD-1078,SUP-18,2024-09-08,2024-09-27,2024-10-04,245,245,54.54,13362.3,Received,7,1,WH03
PO-2026-00190,PROD-1143,SUP-13,2026-01-22,2026-02-23,2026-03-05,208,208,338.49,70405.92,Received,10,0,WH04
PO-2026-00191,PROD-1092,SUP-09,2025-03-02,2025-04-11,2025-04-14,182,182,84.0,15288.0,Received,3,0,WH04
PO-2025-00192,PROD-1009,SUP-18,2025-09-17,2025-10-09,2025-10-12,295,295,378.17,111560.15000000001,Received,3,1,WH02
PO-2024-00193,PROD-1211,SUP-01,2026-01-08,2026-02-09,2026-02-14,63,63,287.0,18081.0,Received,5,0,WH02
PO-2024-00194,PROD-1139,SUP-10,2024-12-06,2025-01-09,2025-01-08,84,84,470.38,39511.92,Received,-1,0,WH04
PO-2026-00195,PROD-1057,SUP-13,2025-11-26,2025-12-17,2025-12-26,67,67,119.52,8007.84,Received,9,1,WH01
PO-2025-00196,PROD-1068,SUP-01,2025-03-25,2025-03-30,2025-04-01,89,89,71.39,6353.71,Received,2,1,WH02
PO-2025-00197,PROD-1186,SUP-11,2025-02-13,2025-03-24,2025-03-26,160,160,255.39,40862.399999999994,Received,2,0,WH02
PO-2025-00198,PROD-1177,SUP-21,2024-10-24,2024-11-20,2024-11-28,218,218,89.61,19534.98,Received,8,1,WH02
PO-2026-00199,PROD-1007,SUP-17,2024-07-09,2024-07-26,2024-07-23,109,109,196.75,21445.75,Received,-3,0,WH01
PO-2025-00200,PROD-1164,SUP-11,2024-11-11,2024-12-13,2024-12-18,229,229,425.76,97499.04,Received,5,1,WH03
PO-2025-00201,PROD-1162,SUP-17,2024-04-28,2024-05-05,2024-05-03,250,250,203.45,50862.5,Received,-2,1,WH02
PO-2025-00202,PROD-1002,SUP-18,2025-09-18,2025-09-27,2025-10-04,71,71,122.03,8664.13,Received,7,0,WH03
